避難施設名称,よみ,住所,経度,緯度,避難所種別,災害種別,連絡先,延べ面積[㎡],屋内収容可能人数,URL,備考
京都市立醒泉小学校,,京都市下京区醒ヶ井通松原下ル篠屋町59,135.7528798,34.99818599,,,753512917,,1689,,
京都市立洛央小学校,,京都市下京区仏光寺通東洞院東入仏光寺西町345-1,135.7617556,35.00170189,,,753442093,,491,,
元京都市立植柳小学校,,京都市下京区西洞院通花屋町下ル西洞院町466,135.7547831,34.99216892,,,753712740,,1095,,
元京都市立六条院小学校,,京都市下京区河原町通上枳殻馬場上ル若松町420,135.7629521,34.99279301,,,753531620,,829,,
京都市立梅小路小学校,,京都市下京区観喜寺町3,135.7451614,34.98827377,,,753717303,,2495,,
京都市立七条小学校,,京都市下京区西七条石井町61,135.735116,34.98717357,,,753130077,,2610,,
京都市立七条第三小学校,,京都市下京区西七条西石ヶ坪町5,135.7331854,34.99319523,,,753137380,,1672,,
元京都市立崇仁小学校,,京都市下京区川端町16,135.766962,34.98664326,,,753417145,,2644,,
京都市立西大路小学校,,京都市下京区七条御所ノ内西町71-1,135.7278315,34.9871525,,,753130501,,2505,,
京都市立光徳小学校,,京都市下京区中堂寺坊城町26-1,135.744011,34.99728192,,,758413992,,2004,,
京都市立洛友中学校(元郁文中学校),,京都市下京区大宮通綾小路下ル綾大宮町51-2,135.7486896,35.00187657,,,758212196,,1824,,
元京都市立梅逕中学校,,京都市下京区大宮通八条上ル三丁目東側垣ヶ内町248,135.7494457,34.98645351,,,753616201,,1490,,
京都市立七条中学校,,京都市下京区西七条御領町32,135.7377211,34.99142597,,,753130972,,5057,,
下京地域体育館,,京都市下京区川端町13,135.7662933,34.98640137,,,753517510,,360,,
京都市総合教育センター,,京都市下京区河原町通松原上ル二丁目富永町344,135.7685412,35.00221678,,,753712340,,0,,
京都市修徳特別養護老人ホーム,,京都市下京区新町通松原下ル富永町110-1,135.7569249,34.99797934,,,753512181,,2740,,
ひと・まち交流館 京都,,京都市下京区西木屋町通上ノ口上ル梅湊町83-1,135.7651094,34.99322865,,,753548711,,138,,
京都市立下京中学校,,京都市下京区楊梅通新町東入蛭子町120-1,135.7572522,34.99524222,,,753712100,,1592,,
京都市立下京中学校成徳学舎,,京都市下京区高辻通室町西入繁昌町290,135.757445,34.999999,,,753416229,,2680,,
京都市立下京渉成小学校,,京都市下京区皆山町438-1,135.7623209,34.9900678,,,753422522,,384,,
池坊学園,,京都市下京区室町通四条下ル鶏鉾町491,135.7579273,35.00305103,,,753518581,,304,,
龍谷大学付属 平安中学校・平安高等学校,,京都市下京区御器屋町30,135.7483199,34.99007825,,,753614231,,0,,
京都産業大学附属中学校・高等学校,,京都市下京区中堂寺命婦町1-10,135.7447249,34.99791908,,,752790001,,0,,
京都市立九条弘道小学校,,京都市南区西九条春日町13,135.754696,34.98105584,,,756716981,,2707,,
京都市立九条塔南小学校,,京都市南区西九条御幸田町109,135.7484903,34.97597371,,,756911540,,2349,,
京都市立南大内小学校,,京都市南区八条内田町20-2,135.7444296,34.98057266,,,756918458,,2410,,
京都市立唐橋小学校,,京都市南区唐橋西寺町65,135.7380182,34.97992905,,,756918001,,2770,,
元京都市立陶化小学校,,京都市南区東九条中御霊町55,135.7625606,34.97863614,,,756721172,,1945,,
元京都市立東和小学校(凌風小中学校第２校舎),,京都市南区東九条南烏丸町19,135.7589939,34.97813556,,,756915049,,1983,,
元京都市立山王小学校,,京都市南区東九条東山王町27,135.7620261,34.98287473,,,756726464,,1951,,
京都市立吉祥院小学校,,京都市南区吉祥院船戸町34,135.7325559,34.97486555,,,756715395,,2616,,
京都市立祥豊小学校,,京都市南区吉祥院三ノ宮町23,135.7275565,34.97754398,,,756912486,,2561,,
京都市立上鳥羽小学校,,京都市南区上鳥羽城ヶ前町16,135.7431686,34.96390444,,,756910393,,2613,,
京都市立大藪小学校,,京都市南区久世大藪町62,135.718607,34.96023266,,,759213303,,2673,,
京都市立祥栄小学校,,京都市南区吉祥院蒔絵町14,135.7369818,34.96766162,,,756811556,,3515,,
京都市立久世西小学校,,京都市南区久世上久世町454,135.7143701,34.96304998,,,759340460,,2953,,
京都市立八条中学校,,京都市南区唐橋門脇町35,135.7386293,34.98267562,,,756815264,,885,,
京都市立九条中学校,,京都市南区西九条南小路町1,135.7502029,34.9808772,,,756812211,,2477,,
京都市立洛南中学校,,京都市南区吉祥院落合町31,135.7386236,34.97429515,,,756910018,,8013,,
京都市立凌風小・中学校,,京都市南区東九条下殿田町56,135.7574598,34.97852194,,,756938222,,875,,
京都市立久世中学校,,京都市南区久世殿城町481-1,135.7189413,34.95667369,,,759333223,,5040,,
京都市立洛陽工業高等学校,,京都市南区唐橋大宮尻町22,135.7351783,34.98029411,,,756913161,,6695,,
京都市立塔南高等学校,,京都市南区吉祥院観音堂町41,135.7339214,34.96766171,,,756810701,,4541,,
