観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
京都市右京区京北柏原町,路上,135.6246389,35.14892778,2017/6/3,3,,,国道から山に２頭、谷に１頭移動するクマを目撃,,,26108,京都市
舞鶴市三日市,スギ林,135.2682111,35.44505556,2017/6/3,1,,,家屋の外で作業中に、裏山でゴソゴソ音がするので、音のする方をみるとクマ１頭がいた。,不明,,26202,舞鶴市
京丹波町下乙見,路上,135.4261111,35.29111111,2017/6/3,,1,,道路を横断し山の方へ移動するクマを目撃。,,関係機関に連絡済み。注意喚起放送実施。,26407,京丹波町
京丹後市久美浜町新谷,その他,134.9397222,35.57833333,2017/6/4,,1,,小学校付近でクマを目撃した。,,,26212,京丹後市
宮津市中津,その他,135.2258333,35.55916667,2017/6/4,,,1,クマを目撃した。詳細はわからずとのこと。,,,26205,宮津市
宮津市小田宿野,その他,135.2497222,35.5625,2017/6/4,,,1,クマを目撃した。詳細はわからずとのこと。,,,26205,宮津市
宮津市大久保,市街地,135.1922222,35.53277778,2017/6/4,,,1,家の前にクマの糞らしき物があった。,,,26205,宮津市
伊根町菅野,その他,135.2505556,35.68861111,2017/6/4,1,,,厚垣入り口周辺でクマを目撃した。,,,26463,伊根町
京丹後市丹後町間人,畑,135.0975,35.73555556,2017/6/4,,,1,集落内の畑でクマの足跡が発見された。,,注意喚起の放送済み,26212,京丹後市
宇治田原町南,路上,135.8490333,34.84103611,2017/6/4,1,,,府道６２号（南バイパス）を、北から南へ横断するクマを目撃。,,,26344,宇治田原町
伊根町本庄上,路上,135.2627778,35.71,2017/6/4,,1,,片側通行の信号付近でクマを目撃した。,,防災無線にて注意喚起,26463,伊根町
与謝野町温江,路上,135.1236111,35.50194444,2017/6/5,,,1,道路を横断するクマを目撃した。,,,26465,与謝野町
宮津市田原,その他,135.2713889,35.68944444,2017/6/5,1,,,集落内でクマを目撃した。,,自治会有線放送にて注意喚起済み,26205,宮津市
福知山市字下天津,その他,135.1088333,35.35995278,2017/6/5,,1,,宮福線下天津駅から西に３００ｍほどのR175沿い墓地下の竹やぶで目撃。,50cm〜６０ｃｍ,,26201,福知山市
与謝野町加悦奥,集落内,135.0497222,35.50277778,2017/6/5,,,1,民家付近でクマを目撃した。,,,26465,与謝野町
京丹後市大宮町谷内,路上,135.105,35.56138889,2017/6/5,,1,,山から下りてきて道を渡って川の方へ移動した。,,谷内区長に注意喚起の連絡済み,26212,京丹後市
舞鶴市字志高,その他,135.2480806,35.42919722,2017/6/5,,1,,加佐分室から南西へ２００ｍ付近の場所で目撃。由良川方面へ移動した。,不明,,26202,舞鶴市
福知山市大江町内宮,その他,135.1580333,35.43215556,2017/6/6,,1,,宮福線大江山口内宮駅周辺で宮津方向の山中へ逃げるのを目撃。,不明,,26201,福知山市
福知山市字下天津,路上,135.1137667,35.35964444,2017/6/6,1,,,自動車で走行中道路を横切り西から東へ川の方向に向かうクマを目撃。,１ｍ,,26201,福知山市
京丹後市丹後町成願寺,路上,135.1044444,35.70361111,2017/6/6,1,,,クマと自動車が接触事故をおこした。,,,26212,京丹後市
与謝野町与謝,集落内,135.0886111,35.46388889,2017/6/6,,,1,町道を横断し、山へ向かうクマを目撃した。,,,26465,与謝野町
宮津市下世屋,集落内,135.2127778,35.63222222,2017/6/6,1,,,山の方へ向かうクマを目撃した。,100cmくらい,,26205,宮津市
京丹後市大宮町周枳,その他,135.1063889,35.59666667,2017/6/6,,,1,有害の捕獲許可をうけている捕獲檻にクマが誤捕獲されて自力で脱出した。,小さい,自力で逃走,26212,京丹後市
宮津市小田（竹の本）,その他,135.1511111,35.49194444,2017/6/6,1,,,クマを目撃した。,60kgくらい,,26205,宮津市
舞鶴市字寺田,その他,135.3862917,35.42721111,2017/6/6,,2,,寺田集会場から南西へ２００ｍほどの地点。,不明,,26202,舞鶴市
舞鶴市字森,その他,135.3680806,35.457325,2017/6/6,,1,,白鳥トンネルから東へ４００ｍほどの地点。,不明,,26202,舞鶴市
福知山市字猪崎,,135.1424722,35.30663056,2017/6/7,1,,,三愛荘へ向かう坂を自動車で走行中に道路脇にいるクマを発見。,１ｍ,,26201,福知山市
伊根町井室,路上,135.2783333,35.68972222,2017/6/7,,1,,国道を走行中にクマを目撃した。,,防災無線にて注意喚起,26463,伊根町
舞鶴市字堂奥　地内,畑,135.4329056,35.46265,2017/6/7,1,,,予察捕獲（箱わな）,"1,100mm、38kg",捕殺,26202,舞鶴市
舞鶴市字与保呂　地内,畑,135.4193972,35.45139722,2017/6/7,1,,,予察捕獲（箱わな）,"1,030mm、32kg",捕殺,26202,舞鶴市
綾部市睦合町念道付近,,135.3741333,35.34757222,2017/6/8,,,1,目撃。,,,26203,綾部市
京丹後市丹後町筆石,路上,135.1330556,35.74916667,2017/6/8,1,,,車を運転中に道路から山へ逃げていくクマを目撃した。,,,26212,京丹後市
福知山市三和町大身,路上,135.2934056,35.21466667,2017/6/8,1,,,府道京丹波三和線上を歩いて山中へ。,不明,,26201,福知山市
南丹市日吉町佐々江,その他,135.5711111,35.22027778,2017/6/8,1,,,クマを目撃。,,関係機関へ連絡済み,26213,南丹市
京都市右京区京北小塩町,その他,135.699725,35.207425,2017/6/8,,,1,クマを目撃,,,26108,京都市
舞鶴市字上安,その他,135.3451194,35.46678611,2017/6/8,,1,,五老ヶ岳公園松の台付近の散策路を小熊が一頭横切った。,不明,,26202,舞鶴市
舞鶴市字泉源寺,竹林,135.4023833,35.48363611,2017/6/8,1,,,予察捕獲（箱わな）,"1,090mm、29kg",捕殺,26202,舞鶴市
京丹後市久美浜町三分,路上,134.9455556,35.64027778,2017/6/9,,1,,道路から田んぼの方向へ移動するクマを目撃した。,,区長に連絡し、注意喚起を依頼,26212,京丹後市
南丹市美山町板橋,路上,135.5588889,35.24527778,2017/6/9,,1,,川側より府道を横断し山の方へ移動した子グマを目撃。,小型,関係機関へ連絡済み,26213,南丹市
宮津市上石浦,集落内,135.2805556,35.5075,2017/6/9,,1,,朝、子グマがうろうろしているのを目撃した。,,,26205,宮津市
宮津市小田,その他,135.1633333,35.49388889,2017/6/9,1,,,被害防止捕獲の許可をうけている箱わなにクマが捕獲され、予察捕獲を行った。,オス　725mm　9kg,捕殺,26205,宮津市
京都市右京区京北灰屋,スギ林,135.7349722,35.1911,2017/6/10,,,1,民家の裏山でクマの糞を発見,,,26108,京都市
伊根町井室,集落内,135.2786111,35.69555556,2017/6/10,1,,,クマを目撃した。,,防災無線にて注意喚起済み,26463,伊根町
伊根町津母,集落内,135.2852778,35.72027778,2017/6/10,1,,,クマを目撃した。,,防災無線にて注意喚起済み,26463,伊根町
京丹波町下乙見,その他,135.4297222,35.28416667,2017/6/10,1,1,,親子連れのクマを目撃。,,関係機関へ連絡済み,26407,京丹波町
福知山市夜久野町,畑,134.969975,35.35075556,2017/6/10,1,,,目撃。,150cm,,26201,福知山市
南丹市美山町知見,その他,135.6513889,35.36,2017/6/10,1,2,,尾根筋を北北西の方向へ移動する親子クマを目撃。,,関係機関へ連絡済み連絡済み,26213,南丹市
宮津市小田（平石）,路上,135.1644444,35.48833333,2017/6/10,1,,,車で走行中にクマを目撃した。,,,26205,宮津市
宮津市小田（辛皮）,その他,135.1730556,35.46194444,2017/6/10,,,1,辛皮駅周辺でクマを目撃した。,,,26205,宮津市
舞鶴市字大山,畑,135.4536889,35.55096111,2017/6/10,1,,,予察捕獲（箱わな）,840mm、14kg,捕殺,26202,舞鶴市
与謝野町滝根,その他,135.0980556,35.48111111,2017/6/11,,,1,木工センター付近で町道を横断し、山へ向かった。,,,26465,与謝野町
京丹後市丹後町間人,集落内,135.0866667,35.72722222,2017/6/11,,1,,南の山の方向へ向かっていくクマを目撃した。,,,26212,京丹後市
与謝野町金屋,その他,135.0997222,35.48194444,2017/6/11,1,,,集落を囲む金網柵周辺のシカ・イノシシを銃で巻き狩りをしていたら目撃した。,,,26465,与謝野町
福知山市字一尾,路上,135.1061444,35.36516111,2017/6/12,,1,,自動車で走行中に道路上を歩いているクマを目撃。,８０ｃｍ,,26201,福知山市
舞鶴市大波下,路上,135.3956111,35.50605,2017/6/12,,,1,犬の散歩中に反対車線側にいるクマを目撃。犬が吠えると山側へ逃げていった。,不明,,26202,舞鶴市
伊根町泊,集落内,135.2863889,35.70472222,2017/6/12,1,,,クマを目撃した。,,,26463,伊根町
綾部市有岡才ノ前,路上,135.2610167,35.32766667,2017/6/12,,1,,車で走行中目撃。,１ｍ位,,26203,綾部市
福知山市字梅谷,畑,135.0202444,35.32333611,2017/6/12,,1,,牧川付近の休耕田をクマが横切るのを目撃。,不明,,26201,福知山市
与謝野町香河,その他,135.1302778,35.50583333,2017/6/12,1,,,被害防止捕獲の許可をうけている箱わなにクマが捕獲され、予察捕獲を行った。,メス　1110mm　34kg,捕殺,26465,与謝野町
京丹後市丹後町乗原,路上,135.1325,35.74388889,2017/6/12,,,1,運転中にクマを目撃した。,,,26212,京丹後市
舞鶴市字大波下,その他,135.3973528,35.50589444,2017/6/12,1,,,若浦中学校から西へ約５０ｍ付近で目撃。東から西の方向へ移動した。,不明,,26202,舞鶴市
舞鶴市字木ノ下,スギ林,135.4107472,35.43926944,2017/6/12,,2,,箱わなによる誤捕獲,不明,放獣,26202,舞鶴市
舞鶴市字田井,その他,135.4489806,35.57262222,2017/6/12,,,1,田井＿成生間で一頭目撃。,不明,,26202,舞鶴市
綾部市五津合町段,畑,135.4197972,35.38323889,2017/6/13,,,1,農作業中に目撃。,５０ｃｍ,,26203,綾部市
京都市左京区岩倉,河川敷,135.7833861,35.08747222,2017/6/13,,,1,住宅裏の河川にいるクマを目撃,,,26103,京都市
京丹後市弥栄町外村,路上,135.1269444,35.6625,2017/6/13,,,1,民家から１キロ程先の府道でクマを目撃した。,１００cmくらい,区内注意喚起済み,26212,京丹後市
舞鶴市字泉源寺,路上,135.4044361,35.48618333,2017/6/13,,1,,海上自衛隊松ヶ崎宿舎Ｍ５から東約５０ｍ、市道上にて小熊一頭が南から北側に移動するところが目撃された。,不明,,26202,舞鶴市
伊根町本庄宇治,集落内,135.2602778,35.73,2017/6/14,1,,,クマを目撃した。,,防災無線にて注意喚起済み,26463,伊根町
京丹後市峰山町長岡,その他,135.0694444,35.59638889,2017/6/14,,,1,はごろも苑の駐車場でクマを目撃した。,,防災無線等での注意喚起依頼済み,26212,京丹後市
南丹市美山町静原,その他,135.5613889,35.27666667,2017/6/14,,1,,車を運転中クマが道路を横断しかけたが、車が来たため、元来た山の方へ戻っていくところを目撃。,100cmくらい,関係機関に連絡済み。,26213,南丹市
南丹市美山町荒倉,その他,135.6005556,35.28861111,2017/6/14,1,,,川から山へ登って行くクマを目撃。,,関係機関に連絡済み。,26213,南丹市
舞鶴市字今田,その他,135.3352889,35.421925,2017/6/14,,,1,京都交通万願寺（池内）バス停から舞鶴西インター方向へ約１００ｍの山_橋西側の山際に出没、その後は山の中に移動した。,不明,,26202,舞鶴市
京都市左京区八瀬,スギ林,135.8168028,35.08388056,2017/6/15,1,,,有害捕獲檻（イノシシ・シカ）に誤捕獲,153ｃｍ　52ｋｇ　オス,ＷＭＯにて計測後、放獣,26103,京都市
京丹後市大宮町森本,路上,135.1125,35.58277778,2017/6/15,,1,,トンネル手前でクマを目撃した。,40〜50cmくらい,,26212,京丹後市
宮津市小田（辛皮）,路上,135.1719444,35.45916667,2017/6/15,1,1,,車で走行中に子連れのクマを目撃した。,,,26205,宮津市
綾部市とよさか町,その他,135.2903472,35.32688611,2017/6/15,,,1,本田味噌本店付近で目撃。,不明,,26203,綾部市
綾部市渕垣町小白,その他,135.2824139,35.32532222,2017/6/15,,,1,目撃。,不明,,26203,綾部市
舞鶴市字上佐波賀,その他,135.3669944,35.50596389,2017/6/15,,,1,ビワの木に爪痕を確認済み,,,26202,舞鶴市
舞鶴市字瀬崎,その他,135.3495556,35.54215833,2017/6/15,,,1,目撃。,,,26202,舞鶴市
舞鶴市字三浜,その他,135.3942056,35.55693056,2017/6/15,,,1,目撃。,,,26202,舞鶴市
舞鶴市字田井,その他,135.4593083,35.56696389,2017/6/15,,,1,設置わなに痕跡あり。,,,26202,舞鶴市
舞鶴市字栃生,その他,135.4366583,35.53063056,2017/6/15,,,1,目撃。,,,26202,舞鶴市
与謝野町温江,その他,135.1236111,35.49027778,2017/6/16,,,1,有害の捕獲許可をうけている捕獲檻にクマが誤捕獲されて自力で脱出した。,,脱出口より自力で逃走した。,26465,与謝野町
京丹波町細谷,その他,135.4288889,35.30361111,2017/6/16,,,1,家の裏手山際でクマを目撃。,,関係機関へ連絡済み。,26407,京丹波町
福知山市大江町三河,路上,135.1945083,35.4112,2017/6/16,1,,,府道１７５号線を車で走行中に道路を横切るクマを目撃。,"1,020mm",,26201,福知山市
舞鶴市字上佐波賀,路上,135.3703861,35.50690278,2017/6/16,,1,,"上佐波賀トンネルの入り口付近（集落側）の枇杷の木で小熊が一頭目撃された。１３日１４日１５日と立て続けに同時刻・同じ場所で目撃されている。",不明,,26202,舞鶴市
舞鶴市字上漆原,畑,135.2464972,35.49464167,2017/6/16,1,,,白髭神社付近の畑で目撃。かなり大きい個体だったとのこと。,不明,,26202,舞鶴市
舞鶴市字田井,その他,135.4500833,35.57095556,2017/6/16,,1,,釣り人が田井＿成生間で目撃。,不明,,26202,舞鶴市
京都市左京区静市,路上,135.7790972,35.10368056,2017/6/17,1,,,府道走行中、路上にいるクマを目撃,,,26103,京都市
宮津市小田（辛皮）,その他,135.1730556,35.46194444,2017/6/17,1,,,駅から５０ｍ程南の線路付近で列車にはねられたシカの死骸をクマが食べているところを目撃した。,,地区内に防災無線にて注意喚起、市防災無線メールにより出没除法を発信,26205,宮津市
宮津市小田（辛皮）,その他,135.1727778,35.46305556,2017/6/17,,,1,線路上から山へ歩いていくクマを目撃した。,,,26205,宮津市
伊根町井室,路上,135.2677778,35.69138889,2017/6/17,1,,,国道走行中にクマを目撃した。,,,26463,伊根町
京都市左京区鞍馬,天然林,135.7465972,35.12878889,2017/6/17,1,,,山中でクマを目撃,,,26103,京都市
京都市右京区京北灰屋町,集落内,135.7350056,35.19074444,2017/6/17,,,1,人家裏の桜の木に登った形跡を発見,,,26108,京都市
綾部市五津合町,天然生林,135.4074611,35.38164167,2017/6/17,1,,,くくりわなによる誤捕獲,"1,270mm、38kg",計測後放獣,26203,綾部市
福知山市夜久野町平野,その他,134.9380056,35.33963889,2017/6/17,1,,,５６号線を車で走行中広瀬橋たもとから南に移動するクマを目撃。,不明,,26201,福知山市
京都市左京区静市,路上,135.7992333,35.11435278,2017/6/17,1,,,河川から道路を横断し、山中に移動するクマを目撃,,,26103,京都市
舞鶴市字河辺中,畑,135.4043833,35.51846111,2017/6/17,,,1,平発電所から大山方向へ約200m付近の河辺川側の農地で目撃,,市配信メール通知,26202,舞鶴市
宮津市小田宿野,路上,135.2513889,35.565,2017/6/18,1,1,,府道を散歩中に親子グマを目撃した。,,,26205,宮津市
宮津市獅子,その他,135.2255556,35.56694444,2017/6/18,,1,,山際の農道を歩いているクマを目撃した。,,目撃者による近所への注意喚起済み,26205,宮津市
宮津市獅子崎,集落内,135.2044444,35.55972222,2017/6/18,,,1,敷地内でクマがビワの実を食べているのを目撃した。,,,26205,宮津市
京丹波町下粟野下山,その他,135.4272222,35.29555556,2017/6/18,,1,,山から川に向かって移動するクマを目撃。,,関係機関に連絡済み。,26407,京丹波町
福知山市字下天津,路上,135.1090361,35.36419722,2017/6/18,,1,,１７６号線川下橋の東５０ｍ付近で車と接触。,不明,,26201,福知山市
宮津市小田宿野,その他,135.2558333,35.55583333,2017/6/19,,1,,敷地内の藪の中へ入っていくクマを目撃した。,,,26205,宮津市
宮津市問屋,路上,135.2141667,35.55083333,2017/6/19,,,1,栗田トンネルの西側でクマを目撃した。,,,26205,宮津市
宮津市上世屋,路上,135.2005556,35.635,2017/6/19,,,1,上世屋と下世屋の途中の道路横切るクマを目撃した。,70cmくらい,,26205,宮津市
京都市左京区花脊,路上,135.785925,35.158825,2017/6/19,1,,,国道を横断するクマを目撃,,,26103,京都市
綾部市五津合町境谷,畑,135.4134389,35.38934167,2017/6/19,1,,,自宅裏にてクマの気配を感じたところ目撃した。,不明,,26203,綾部市
京丹後市久美浜町二俣,路上,134.9786111,35.5625,2017/6/19,1,,,二俣橋のあたりでクマを目撃した。,,,26212,京丹後市
京都市左京区静市,スギ林,135.8051778,35.10479444,2017/6/20,1,,,山中でクマを目撃,,,26103,京都市
京丹後市峰山町新町,その他,135.0913889,35.61027778,2017/6/20,1,,,被害防止捕獲の許可をうけている箱わなにクマが捕獲され、予察捕獲を行った。,オス　26kg　1025mm,捕殺,26212,京丹後市
綾部市小貝町,路上,135.2049,35.31006944,2017/6/20,,,1,車で東へ移動中に目撃。,１ｍ,,26203,綾部市
京都市右京区京北,集落内,135.5911361,35.16397222,2017/6/20,1,,,自宅から山中へ移動するクマを目撃,,,26108,京都市
京都市左京区岩倉,天然林,135.7832806,35.08767778,2017/6/20,1,2,,自宅裏の山中にいるクマを目撃,,,26103,京都市
舞鶴市字万願寺,集落内,135.3391417,35.42684167,2017/6/20,1,,,万願寺公民館から５０ｍ西方で、１ｍ程のクマが目撃された。北側の山に逃げていった。,不明,,26202,舞鶴市
舞鶴市字長浜,集落内,135.3511111,35.48104444,2017/6/21,,1,,箱わなによる誤捕獲,不明,放獣,26202,舞鶴市
舞鶴市字長浜,集落内,135.3511111,35.48104444,2017/6/21,1,,,警察官職務執行法による射殺,"1,190mm、41kg",捕殺,26202,舞鶴市
与謝野町香河,その他,135.1286111,35.5025,2017/6/21,1,,,被害防止捕獲の許可をうけている箱わなにクマが捕獲され、予察捕獲を行った。,オス　73kg　1275mm,捕殺,26465,与謝野町
京丹後市久美浜町葛野,その他,134.9316667,35.64194444,2017/6/21,,,1,クマを目撃した。,,区長へ注意喚起を依頼済み,26212,京丹後市
与謝野町与謝,その他,135.0933333,35.465,2017/6/21,1,,,浄水場から大江山へ200ｍ付近で目撃した。,,,26465,与謝野町
京丹後市久美浜町出角,集落内,134.9416667,35.56861111,2017/6/21,,,1,家の裏でクマを目撃した。,,,26212,京丹後市
舞鶴市字小倉,その他,135.4256583,35.47523889,2017/6/21,1,,,国道２７号より府道小倉西舞鶴線へ南に５００ｍほど入ったところで東から西方向へクマの成獣が一頭横断するのを目撃。,不明,,26202,舞鶴市
伊根町本坂,路上,135.2427778,35.7075,2017/6/22,,1,,車で走行中に川の方から道路を横断しようとしているクマを目撃した。,,防災無線にて注意喚起済み,26463,伊根町
福知山市字長田,路上,135.1809472,35.28208056,2017/6/22,1,,,車で走行中に陸上自衛隊長田野演習場の入口付近を歩いているクマ目撃。,１ｍ,,26201,福知山市
南丹市日吉町,その他,135.5413889,35.20916667,2017/6/22,,,1,山の方へ移動するクマを目撃。,,関係機関へ連絡済み。,26213,南丹市
京丹波町上粟野,その他,135.4391667,35.31527778,2017/6/22,,1,,檻に子グマが入った痕跡があり、姿は見えないが吼えながら山を登っていった。,,関係機関へ連絡済み。,26407,京丹波町
舞鶴市字志高,集落内,135.2456972,35.42886111,2017/6/22,1,,,加佐分室から１００ｍぐらい福知山よりの民家裏で親熊が目撃された。その後は山へ逃げていった。,不明,,26202,舞鶴市
綾部市老富町,集落内,135.476075,35.43380278,2017/6/22,1,2,,老富町の老富会館より大唐内自治会へ入って数百ｍ地点で目撃。,不明,,26203,綾部市
綾部市内久井町,路上,135.2551667,35.38266111,2017/6/23,,,1,車で西へ走行中目撃。,５０ｃｍ,,26203,綾部市
京都市右京区京北上弓削町,路上,135.6530222,35.239625,2017/6/23,1,,,国道を横断し、河川に移動するクマを目撃,,,26108,京都市
京丹後市大宮町上常吉,その他,135.0669444,35.54833333,2017/6/23,1,,,被害防止捕獲の許可をうけているくくりわなにクマが捕獲され、予察捕獲を行った。,オス　62kg　1306mm,捕殺,26212,京丹後市
宮津市文珠,その他,135.18,35.55583333,2017/6/23,1,,,被害防止捕獲の許可をうけているはこわなにクマが捕獲され、予察捕獲を行った。,オス　51kg　1225mm,捕殺,26205,宮津市
宮津市波路,集落内,135.2119444,35.54388889,2017/6/23,,,1,海側から山側へ走り畑の中へ移動するクマを目撃した。,,,26205,宮津市
綾部市上杉町,路上,135.3403278,35.35629722,2017/6/23,,,1,目撃。,不明,,26203,綾部市
京都市左京区岩倉,河川敷,135.7832806,35.08767778,2017/6/23,1,1,,自宅裏の河川にいるクマを目撃（24日、25日、26日にも目撃）,駆逐用煙火で追払い,,26103,京都市
宮津市田原,集落内,135.2672222,35.685,2017/6/23,,,1,山の方へ移動していくクマを目撃した。,,,26205,宮津市
南丹市日吉町畑郷,その他,135.4625,35.21472222,2017/6/23,,,1,クマを目撃。,,関係機関に連絡済み。,26213,南丹市
舞鶴市字志高,その他,135.2331917,35.43412222,2017/6/23,1,,,松枝神社から北西へ１００ｍ地点の川で一頭目撃。,不明,,26202,舞鶴市
舞鶴市字小橋,集落内,135.4009389,35.56087778,2017/6/23,,,1,６月１９日から２１日、早朝に若宮神社から集落内を通り、お寺方向へ移動する個体を目撃,,区長からの連絡,26202,舞鶴市
京丹後市峰山町丹波,集落内,135.0722222,35.63083333,2017/6/24,,,1,大糸川付近から民家宅の裏山の方へ移動していくクマを目撃した。,,,26212,京丹後市
京丹後市峰山町丹波,集落内,135.0788889,35.63166667,2017/6/24,,1,,内記橋付近でクマを目撃した。,,,26212,京丹後市
舞鶴市字成生,畑,135.4497889,35.58171667,2017/6/24,1,,,予察捕獲（箱わな）,1，280ｍｍ44.5kg,捕殺,26202,舞鶴市
舞鶴市字成生,畑,135.44875,35.57976111,2017/6/24,,,1,成生漁協付近の農地で目撃,,,26202,舞鶴市
宮津市小寺,その他,135.2330556,35.5375,2017/6/25,1,,,被害防止捕獲の許可をうけているはこわなにクマが捕獲され、予察捕獲を行った。,メス　34kg　1060mm,捕殺,26205,宮津市
綾部市物部町高倉前付近,路上,135.2297333,35.36211944,2017/6/25,,,1,目撃。,１m,,26203,綾部市
舞鶴市字上佐波賀,その他,135.3669944,35.50596389,2017/6/25,,,1,ビワの木に爪痕を確認済み,,,26202,舞鶴市
宮津市新宮（狩場）,その他,135.2394444,35.51944444,2017/6/26,,,1,ヤマモモの木にクマが登って食べた形跡があった。,,,26205,宮津市
舞鶴市字成生,天然林,135.4494111,35.57140833,2017/6/26,,,1,猟友会員が目撃,,,26202,舞鶴市
福知山市字夷,路上,135.0664139,35.34145556,2017/6/27,1,,,車で走行中、常願寺バス停から南へ８００ｍ付近で、４２６号線を横切るクマを目撃。,不明,,26201,福知山市
京丹後市久美浜町大井,路上,134.9366667,35.62333333,2017/6/27,,,1,日光寺峠の頂上付近でクマを目撃した。,,,26212,京丹後市
舞鶴市字河原,路上,135.2319583,35.46005833,2017/6/27,,1,,１８：３０頃下見谷口のバス停から西方寺方面に約５０ｍ程進んだ地点（府道上）で小熊を一頭目撃。,不明,,26202,舞鶴市
舞鶴市字大川,路上,135.2592028,35.44514167,2017/6/27,,,1,２１時頃、府道１７５号線から市道へ入る分岐点付近でクマ一頭が車の前に出没した。,不明,,26202,舞鶴市
京丹後市峰山町丹波,集落内,135.0788889,35.635,2017/6/27,1,,,神社も前でクマを目撃した。,,,26212,京丹後市
与謝野町温江,その他,135.1075,35.49,2017/6/28,1,,,被害防止捕獲の許可をうけているはこわなにクマが捕獲され、予察捕獲を行った。,メス　26kg　1030mm,捕殺,26465,与謝野町
京丹後市弥栄町鳥取,路上,135.085,35.67583333,2017/6/28,1,1,,車で走行中にクマを見かけた。,,,26212,京丹後市
京丹後市大宮町久住,路上,135.1302778,35.615,2017/6/28,,,1,運転中に道路を横断しているクマを目撃した。　川の方へ移動した。,,,26212,京丹後市
舞鶴市字成生,集落内,135.4476278,35.57835556,2017/6/28,,,1,１０時３０分頃、成生の集落へ入る手前でクマ一頭が西側の山へ駆け登っていくところが目撃された。,不明,,26202,舞鶴市
与謝野町金屋,畑,135.1022222,35.48638889,2017/6/29,,,1,農地で足跡を発見した。,,,26465,与謝野町
京丹後市久美浜町永留,路上,134.9416667,35.5975,2017/6/29,,,1,路上でクマを目撃した。,,,26212,京丹後市
福知山市字下天津,路上,135.1153611,35.36436944,2017/6/29,,1,,天津交差点北へ１００ｍの地点で目撃。,不明,,26201,福知山市
京丹波町仏主,路上,135.4480556,35.32083333,2017/6/29,,1,,車で府道を走行中、府道から山へ向かうクマを目撃。,,関係機関に連絡済み。,26407,京丹波町
舞鶴市字泉源寺,その他,135.4023833,35.48363611,2017/6/29,1,,,予察捕獲（箱わな）,1，040ｍｍ40.0kg,捕殺,26202,舞鶴市
舞鶴市字西屋,路上,135.4099028,35.52437778,2017/6/29,,,1,「西屋」バス停から約３０メートル西側で、目撃,,市配信メール通知,26202,舞鶴市
福知山市字大門,路上,135.0775778,35.29934167,2017/7/1,1,,,府道１０９号線との交差点で南から北へ向かうクマを目撃。,不明,,26201,福知山市
京丹後市峰山町鱒留,路上,135.0186111,35.57611111,2017/7/1,,,1,クマを目撃した。,,,26212,京丹後市
亀岡市千歳町,その他,135.5888889,35.04583333,2017/7/1,,,1,車で走行中、広場にいるクマを目撃。,,関係機関に連絡済み。,26206,亀岡市
亀岡市千歳町,その他,135.59,35.04805556,2017/7/1,,,1,北西方向へ移動するクマを目撃。,,関係機関に連絡済み。,26206,亀岡市
京丹後市峰山町丹波,畑,135.0655556,35.63444444,2017/7/1,,,1,ワイヤーメッシュ柵をつぶしてスイカを食い散らかした跡があった。,,,26212,京丹後市
与謝野町滝,畑,135.0891667,35.47916667,2017/7/1,,,1,公民館付近の農地でクマの足跡を発見した。,,,26465,与謝野町
綾部市西方町,集落内,135.2097917,35.38731389,2017/7/2,1,,,自宅の前を横切った。,不明,,26203,綾部市
京丹後市久美浜町湊宮,路上,134.8913889,35.6375,2017/7/2,1,,,車で走行中に雑木林の中でクマを目撃した。,130cm〜150cm,駐在のパトカーにてパトロール済,26212,京丹後市
京丹後市弥栄町溝谷,その他,135.1183333,35.65277778,2017/7/2,,1,,草刈り作業中に目撃した。,,,26212,京丹後市
与謝野町滝,畑,135.0897222,35.47888889,2017/7/2,,,1,民家裏にある畑でクマの足跡を発見した。,,,26465,与謝野町
京丹後市久美浜町奥山,その他,134.9847222,35.54638889,2017/7/2,,,1,蜂の巣を狙って神社の屋根をこわした。,,,26212,京丹後市
京丹後市久美浜町二俣,その他,134.9797222,35.56277778,2017/7/2,,,1,民家のはなれの室外機をこわした。（蜂の巣があった？）,,,26212,京丹後市
綾部市有岡町友広,畑,135.2635722,35.32675833,2017/7/3,,,1,車で走行中目撃。,１ｍ位,,26203,綾部市
綾部市小畑町田畑,畑,135.1952222,35.34451944,2017/7/3,,,1,ビワの木に爪痕と隣の畑に足跡あり。,不明,現在ビワはなっていない。来年の対策としてビワの木の伐採を依頼。本人了承済み。,26203,綾部市
南丹市美山町,畑,135.5580556,35.32111111,2017/7/3,,1,,公民館裏の畑付近で子グマを目撃。,,関係機関に連絡済み。,26213,南丹市
南丹市日吉町保野田,その他,135.4972222,35.16472222,2017/7/3,1,,,山の方へ移動するクマを目撃。,180cm位,関係機関に連絡済み。,26213,南丹市
京丹波町坂井,路上,135.3363889,35.18833333,2017/7/4,,1,,車で走行中、道路を横断するクマを目撃。,,関係機関に連絡済み。,26407,京丹波町
舞鶴市志高,畑,135.2486222,35.426225,2017/7/4,,1,,志高地区の長池付近で目撃。,不明,,26202,舞鶴市
宮津市獅子,その他,135.2247222,35.56083333,2017/7/5,1,,,車で走行中に天橋の郷の山側でクマを目撃した。,,,26205,宮津市
南丹市美山町江和,その他,135.6686111,35.32,2017/7/5,,,1,民家の前から川の方へ移動するクマを目撃。,大型,関係機関に連絡済み。,26213,南丹市
