観察場所,環境区分,経度,緯度,目撃年月日,成獣,幼獣,その他（匹）,目撃時の状況,個体の状況,その後の処置,自治体コード,市町村名
与謝野町加悦奥,集落内,135.1252778,35.50027778,2016/5/31,,,1,民家裏でクマを目撃した。,,,26465,与謝野町
舞鶴市堀,集落内,135.3412722,35.40755278,2016/5/31,1,,,猟友会の檻に出入りを繰り返す,,,26202,舞鶴市
与謝野町上山田,集落内,135.1111111,35.53638889,2016/6/1,,1,,上山田変電所付近でクマを目撃した。,,,26465,与謝野町
宮津市日置,その他,135.2172222,35.60694444,2016/6/1,,,1,クマによる養蜂箱の被害,,市と府による調査後捕獲檻を設置,26205,宮津市
宮津市獅子,その他,135.2108333,35.56166667,2016/6/1,1,,,宮津湾浄化センター敷地内で桜の木の実に執着していた。,100cmくらい,市と府による現地調査済み。,26205,宮津市
宮津市獅子,その他,135.2108333,35.56166667,2016/6/1,1,,,宮津湾浄化センター敷地内で桜の木の実に執着していた。,,市職員とセンター職員により追い払ったが居座り続けていた。,26205,宮津市
京丹後市丹後町間人,集落内,135.0977778,35.73361111,2016/6/1,,1,,クマが集落内に出没し、追い払った。,,区長に連絡し、注意喚起を実施。,26212,京丹後市
舞鶴市小倉,路上,135.425625,35.47846389,2016/6/1,1,,,小倉交差点南へ２００ｍ付近で目撃,,,26202,舞鶴市
綾部市十倉名畑町,路上,135.3506583,35.33773611,2016/6/1,1,,,山すそを通過し綾東こども園の駐車場で暴れていたが、山の方へ移動,１．２ｍ,,26203,綾部市
京丹後市久美浜町蒲井,畑,134.8758333,35.64722222,2016/6/1,1,,,畑から山へ移動するクマを目撃した。,かなり大きかった,,26212,京丹後市
京丹波町下粟野,その他,135.4261111,35.29111111,2016/6/1,,1,,砕石場から山へ入っていくクマを目撃。,,,26407,京丹波町
京丹後市久美浜町須田,畑,134.9241667,35.56555556,2016/6/2,,,1,クマの足跡を発見した。,,,26212,京丹後市
伊根町六万部,路上,135.2819444,35.70472222,2016/6/2,,1,,国道沿いでクマを目撃した。,５０cmくらい,,26463,伊根町
舞鶴市城屋,路上,135.2968194,35.42786667,2016/6/2,,,1,雨引神社付近の河原で目撃。山のほうへ移動した。,,,26202,舞鶴市
京丹後市久美浜町二俣,路上,134.9763889,35.565,2016/6/2,,1,,旅行者がクマを目撃した。,,,26212,京丹後市
伊根町井室,路上,135.2822222,35.68638889,2016/6/2,,,1,国道沿いでクマを目撃した。,,,26463,伊根町
宮津市獅子,その他,135.2238889,35.56083333,2016/6/2,1,,,特養付近でクマを目撃した。,,注意喚起済み、捕獲檻設置済み。,26205,宮津市
京丹後市久美浜町蒲井,路上,134.8883333,35.64222222,2016/6/2,,1,,クマを目撃した。,,,26212,京丹後市
南丹市日吉町,路上,135.4686111,35.22416667,2016/6/2,1,,,クマが道路を横切って山手へ行った。,,,26213,南丹市
与謝野町加悦奥,河川敷,135.0738889,35.5025,2016/6/3,,,1,有熊川の草刈り時に大きなクマの糞を発見した。付近に破竹がある。,,,26465,与謝野町
京都市左京区花脊大布施町,路上,135.7744444,35.20555556,2016/6/3,,,1,山手（北側）から南側に道路を横断。草むらに逃走。,７０〜８０ｃｍ,現地確認済み。注意喚起済み。,26103,京都市
宮津市獅子,その他,135.2097222,35.56138889,2016/6/3,,1,,車で走行中にクマを目撃した。,,,26205,宮津市
宮津市獅子,路上,135.23,35.55444444,2016/6/3,,1,,高校生がクマを目撃した。,,,26205,宮津市
京都市右京区京北小塩町,路上,135.6991667,35.20722222,2016/6/3,1,,,府道を横断し山中に移動するクマを目撃,,,26108,京都市
宮津市小田宿野,その他,135.2575,35.55916667,2016/6/4,1,,,有害の捕獲許可をうけて設置している捕獲檻にクマが捕獲された。,オス　83kg　117cm,計測後捕殺,26205,宮津市
与謝野町幾地,路上,135.0886111,35.53527778,2016/6/4,,,1,府道野田川大宮線を車で走行中に目撃した。,,町からの放送対応,26465,与謝野町
福知山市烏ヶ岳,天然生林,135.1449,35.33870278,2016/6/4,1,,,山を横断するクマを目撃,１．５ｍ,,26201,福知山市
京都市左京区鞍馬,その他,135.7644444,35.09527778,2016/6/4,,1,,京都バス詰め所付近でクマを目撃,,,26103,京都市
与謝野町男山,路上,135.1663889,35.57555556,2016/6/5,1,,,林道から山へ入っていくクマを目撃した。,60kgくらい,,26465,与謝野町
宮津市日置,その他,135.2255556,35.61555556,2016/6/5,,,1,クマを目撃した。目撃した。,100cmくらい,,26205,宮津市
京丹後市久美浜町長野,その他,134.9858333,35.60416667,2016/6/5,,1,,休耕地から川へ移動するクマを目撃した。,60cmくらい,,26212,京丹後市
南丹市日吉町,路上,135.5211111,35.16333333,2016/6/5,1,,,北側の山手方向へ逃げるクマを目撃。,,,26213,南丹市
宮津市上司,その他,135.2269444,35.54888889,2016/6/6,1,,,テニスコート裏でクマを目撃した。,,,26205,宮津市
京丹後市久美浜町佐野,路上,134.9880556,35.57583333,2016/6/6,1,,,車で走行中にクマを目撃した。,100cmくらい,高校には目撃者から連絡済み,26212,京丹後市
京丹後市久美浜町橋爪,路上,134.9338889,35.58972222,2016/6/6,1,,,子供を保育所へ送って帰る途中で目撃した。,100cmくらい,,26212,京丹後市
京都市北区鷹峯,天然林,135.7175,35.07083333,2016/6/6,,1,,ハイキング道を横切るクマを目撃,,,26101,京都市
京丹後市久美浜町二俣,路上,134.975,35.56527778,2016/6/7,1,,,車で走行中に二俣から小桑方面へ移動するクマを目撃した。,,,26212,京丹後市
京丹後市弥栄町黒部,その他,135.1019444,35.67777778,2016/6/7,1,,,クマを目撃した。,100cmくらい,有線放送にて区内へ注意喚起,26212,京丹後市
宮津市日置,その他,135.2175,35.60833333,2016/6/7,1,,,有害の捕獲許可をうけている捕獲檻にクマが捕獲された。,オス　体重91kg　全長直134cm,計測後捕殺,26205,宮津市
京丹後市峰山町新町,その他,135.0875,35.61027778,2016/6/7,,,1,クマの目撃情報があった。,,,26212,京丹後市
南丹市日吉町,その他,135.5027778,35.16388889,2016/6/7,,1,,郵便局向かい側山林でクマを目撃。,,,26213,南丹市
舞鶴市森,路上,135.3772083,35.46407222,2016/6/7,,1,,舞鶴市字森の清掃事務所前の道路をクマが横断、走行中の車と接触し、西側の山へ移動,,,26202,舞鶴市
京丹後市峰山町矢田,路上,135.0805556,35.63611111,2016/6/8,,1,,国道脇の歩道を丹側から矢田側へ走って行くクマを目撃した。,100cmくらい,,26212,京丹後市
福知山市山野口,路上,135.1576056,35.34491111,2016/6/8,1,,,路上（府道私市大江線トンネルの手前、山野口側）を車運転中ぶつかりそうになった,,,26201,福知山市
京丹後市大宮町五十河,路上,135.1469444,35.60166667,2016/6/8,,,1,新宮から五十河方面へ道路を横断するクマを目撃した。,100cmくらい,,26212,京丹後市
宮津市宮村,路上,135.1919444,35.52583333,2016/6/8,1,,,ファミリーマート裏の農道でクマを目撃した。,60cmくらい,爆竹等で追い払いを実施した,26205,宮津市
宮津市宮村,路上,135.1919444,35.52583333,2016/6/8,1,,,ファミリーマート裏の農道にクマが再出没した。,60cmくらい,,26205,宮津市
京丹後市大宮町口大野,その他,135.0830556,35.58166667,2016/6/8,1,,,有害の捕獲許可をうけているくくりわなにクマが誤捕獲された。,オス　95kg　90.4cm,計測後放獣,26212,京丹後市
京丹後市網野町木津,畑,134.9872222,35.65666667,2016/6/8,,1,,農作業をしている時、目の前まで近づいてきてその後山へ逃げて行った。,50〜60cmくらい,加茂川区長より連合区長へ連絡,26212,京丹後市
