AED設置場所名称,よみ,住所,経度,緯度,利用開始時間,利用終了時間,設置位置,注意事項,URL,備考
高龍中学校,こうりゅうちゅうがっこう,京丹後市久美浜町新谷２５０,134.937548,35.57766432,,,１階職員玄関,,,
市役所本庁,しやくしょほんちょう,南丹市園部町小桜町４７,135.4698667,35.10712857,,,１号庁舎１階市民課カウンター前,,,
南丹市役所八木支所,なんたんしやくしょやぎししょ,南丹市八木町八木東久保２９−１,135.532234,35.07062268,,,１号庁舎１階市民課カウンター前,,,
南丹市役所日吉支所,なんたんしやくしょひよしししょ,南丹市日吉町保野田市野３−１,135.5015975,35.16447516,,,２階ロビー,,,
南丹市役所美山支所,なんたんしやくしょみやまししょ,南丹市美山町島島台５１,135.5499565,35.27213378,,,２階ロビー正面,,,
宮島振興会,みやじましんこうかい,南丹市美山町島往古瀬２９,135.5509955,35.27214278,,,玄関入口,,,
大野振興会,おおのしんこうかい,南丹市美山町大野広畑１−２,135.5124487,35.27805294,,,玄関入った所,,,
平屋振興会,ひらやしんこうかい,南丹市美山町安掛下２５,135.5870987,35.27589709,,,事務所内　入口の右手,,,
知井振興会,ちいしんこうかい,南丹市美山町中上前８３,135.6389764,35.31188615,,,入口左側(男子便所入口と女子便所入口の間）,,,
鶴ケ岡振興会,つるがおかしんこうかい,南丹市美山町鶴ヶ岡新釈迦堂前１,135.5572872,35.32215017,,,玄関入った正面,,,
南丹市園部公民館,なんたんしそのべこうみんかん,南丹市園部町上本町南２−２２,135.4704598,35.10919259,,,１ 階ロビー　公衆電話横,,,
南丹市八木公民館,なんたんしやぎこうみんかん,南丹市八木町八木東久保２３,135.532689,35.07100404,,,１ 階ロビー　公衆電話横,,,
南丹市国際交流会館,なんたんしこくさいこうりゅうかいかん,南丹市園部町小桜町６２−１,135.4708208,35.10668058,,,１階ロビー,,,
南丹市日吉町生涯学習センター,なんたんしひよしちょうしょうがいがくしゅうせんたー,南丹市日吉町保野田長通２４,135.4894355,35.18040219,,,１階エントランス受付窓口横,,,
日吉駅交流センター,ひよしえきこうりゅうせんたー,南丹市日吉町保野田市野１−４,135.5029664,35.16264726,,,日吉駅　交流センター内待合室,,,
南丹市日吉胡麻コミュニティセンター,なんたんしひよしごまこみゅにてぃーせんたー,南丹市日吉町胡麻的場１−２,135.4685881,35.19541052,,,胡麻屋店内　コンコース側入口から入ったところ,,,
南丹市園部南部コミュニティセンター,なんたんしそのべなんぶこみゅにてぃーせんたー,南丹市園部町城南町クゴ３,135.4670662,35.10016823,,,１階　玄関前,,,
スプリングスひよし,すぷりんぐすひよし,南丹市日吉町中宮ノ向８,135.5178622,35.15195987,,,Å棟（レストラン側）エントランスホール、インフォメーション,,,
スプリングスひよし,すぷりんぐすひよし,南丹市日吉町中宮ノ向８,135.5162056,35.15280296,,,Ｂ棟（温泉側）フロント前、リラクゼーション横,,,
南丹市園部公園多目的運動場,なんたんしそのべこうえんたもくてきうんどうひろば,南丹市園部町小桜町南丹市園部公園内,135.4677335,35.10639654,,,玄関ロビー,,,
南丹市日吉山の家,なんたんしひよしやまのいえ,南丹市日吉町生畑ツノ元下１６　外,135.5468341,35.18447265,,,玄関ホール,,,
南丹市美山芦生山の家,なんたんしみやまあしゅうやまのいえ,南丹市美山町芦生須後１３,135.7140545,35.31054221,,,玄関入ったところ,,,
南丹市美山町自然文化村,なんたんしみやまちょうしぜんぶんかむら,南丹市美山町中下向５６　外,135.6392945,35.31063556,,,玄関入ったロビーの奥く(トイレの手前)、ロビーから見,,,
南丹市八木農村環境公園「氷室の郷」,なんたんしやぎのうそんかんきょうこうえんひむろのさと,南丹市八木町氷所赤見２１−１,135.5430241,35.09081288,,,玄関入って直のホール入口左側の壁,,,
南丹市美山江和長期滞在施設,なんたんしみやまえわちょうきたいざいしせつ,南丹市美山町江和下黒田１　外,135.6518799,35.31858034,,,（観光農園江和ランド）管理棟入口横,,,
道の駅(京都新光悦村),みちのえき(きょうとしんこうえつむら),南丹市園部町曽我谷縄手１５−３　外,135.4822195,35.1238575,,,店内南東奥壁前,,,
南丹市美山北加工・販売施設,なんたんしみやまきたかこうはんばいしせつ,南丹市美山町北揚石２８−１,135.6216267,35.31107952,,,玄関横通路,,,
南丹市園部スポーツセンター,なんたんしそのべすぽーつせんたー,南丹市園部町木崎町下ヲサ４９,135.475415,35.11430927,,,１階ロビー　玄関前,,,
南丹市八木海洋センター,なんたんしやぎかいようせんたー,南丹市八木町南広瀬泉６−１,135.5284983,35.07514928,,,１階　事務所内,,,
南丹市八木バイオエコロジーセンター,なんたんしやぎばいおえころじーせんたー,南丹市八木町諸畑千田１,135.5385299,35.09560203,,,会議室入口,,,
南丹市立八木中央幼児学園,なんたんしりつやぎちゅうおうようじがくえん,南丹市八木町西田河原條４２,135.5389461,35.07475955,,,玄関入口,,,
南丹市立八木東幼児学園,なんたんしりつやぎひがしようじがくえん,南丹市八木町北屋賀焼石８−３,135.5530271,35.07296085,,,玄関,,,
南丹市立園部幼稚園,なんたんしりつそのべようちえん,南丹市園部町小桜町４４,135.4696688,35.10805556,,,１階　職員室内（入口横）,,,
南丹市立園部保育所,なんたんしりつそのべほいくしょ,南丹市園部町木崎町下ヲサ４６,135.4758861,35.11424019,,,正面玄関　下駄箱前,,,
南丹市立城南保育所,なんたんしりつじょうなんほいくしょ,南丹市園部町城南町中井５０,135.4676165,35.10200445,,,玄関,,,
