西暦,和暦,地域コード,地域等,総数_事業所数(事業所),総数_従業者数(人),総数_製造品出荷額等(万円),食料品_事業所数(事業所),食料品_従業者数(人),食料品_製造品出荷額等(万円),飲料・たばこ・飼料_事業所数(事業所),飲料・たばこ・飼料_従業者数(人),飲料・たばこ・飼料_製造品出荷額等(万円),繊維_事業所数(事業所),繊維_従業者数(人),繊維_製造品出荷額等(万円),木材・木製品_事業所数(事業所),木材・木製品_従業者数(人),木材・木製品_製造品出荷額等(万円),家具・装備品_事業所数(事業所),家具・装備品_従業者数(人),家具・装備品_製造品出荷額等(万円),パルプ・紙_事業所数(事業所),パルプ・紙_従業者数(人),パルプ・紙_製造品出荷額等(万円),印刷_事業所数(事業所),印刷_従業者数(人),印刷_製造品出荷額等(万円),化学_事業所数(事業所),化学_従業者数(人),化学_製造品出荷額等(万円),石油・石炭_事業所数(事業所),石油・石炭_従業者数(人),石油・石炭_製造品出荷額等(万円),プラスチック製品_事業所数(事業所),プラスチック製品_従業者数(人),プラスチック製品_製造品出荷額等(万円),ゴム製品_事業所数(事業所),ゴム製品_従業者数(人),ゴム製品_製造品出荷額等(万円),皮革_事業所数(事業所),皮革_従業者数(人),皮革_製造品出荷額等(万円),窯業・土石_事業所数(事業所),窯業・土石_従業者数(人),窯業・土石_製造品出荷額等(万円),鉄鋼_事業所数(事業所),鉄鋼_従業者数(人),鉄鋼_製造品出荷額等(万円),非鉄金属_事業所数(事業所),非鉄金属_従業者数(人),非鉄金属_製造品出荷額等(万円),金属製品_事業所数(事業所),金属製品_従業者数(人),金属製品_製造品出荷額等(万円),はん用機械_事業所数(事業所),はん用機械_従業者数(人),はん用機械_製造品出荷額等(万円),生産用機械_事業所数(事業所),生産用機械_従業者数(人),生産用機械_製造品出荷額等(万円),業務用機械_事業所数(事業所),業務用機械_従業者数(人),業務用機械_製造品出荷額等(万円),電子部品_事業所数(事業所),電子部品_従業者数(人),電子部品_製造品出荷額等(万円),電気機械_事業所数(事業所),電気機械_従業者数(人),電気機械_製造品出荷額等(万円),情報通信_事業所数(事業所),情報通信_従業者数(人),情報通信_製造品出荷額等(万円),輸送用機械_事業所数(事業所),輸送用機械_従業者数(人),輸送用機械_製造品出荷額等(万円),その他_事業所数(事業所),その他_従業者数(人),その他_製造品出荷額等(万円)
2014年,平成26年,26303,乙訓郡大山崎町,16,2921,20451427,1,292, X, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,3,176,461060,1,13, X, -, -, -, -, -, -, -, -, -, -, -, -,1,60, X, -, -, -, -, -, -,1,17, X, -, -, -,3,135,273442, -, -, -,1,8, X,4,821,2934174, -, -, -,1,1399, X, -, -, -
2014年,平成26年,26322,久世郡久御山町,252,7229,19182323,15,999,3588774,4,330,727922,8,125,135381,2,25, X,6,59,149446,5,94,261234,7,342,1148659,4,247,792953, -, -, -,22,586,960309, -, -, -, -, -, -,4,99,200081,10,118,651612,4,217,1414549,47,1111,2378742,8,276,514654,55,1096,3719926,11,160,238840,9,762,1321891,22,449,682920,1,14, X,5,63,119500,3,57,117411
2014年,平成26年,26343,綴喜郡井手町,22,721,1756138,5,283,587867,2,24, X,4,41,41935,1,11, X, -, -, -,2,205, X, -, -, -, -, -, -, -, -, -,1,16, X, -, -, -, -, -, -,1,14, X, -, -, -, -, -, -,5,121,236714, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,6, X
2014年,平成26年,26344,綴喜郡宇治田原町,61,2449,7274453,3,172,650519,14,162,469040,1,8, X, -, -, -,1,15, X,5,265,637458,4,236,854680,1,14, X,1,9, X,6,111,409400, -, -, -, -, -, -,1,10, X, -, -, -, -, -, -,10,293,912967, -, -, -,8,737,2057886, -, -, -, -, -, -,1,29, X, -, -, -,3,348,865754,2,40, X
2014年,平成26年,26364,相楽郡笠置町,7,66,74209,1,17, X, -, -, -,1,8, X, -, -, -, -, -, -, -, -, -, -, -, -,1,17, X, -, -, -, -, -, -,1,7, X, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,4, X, -, -, -,2,13, X, -, -, -
2014年,平成26年,26365,相楽郡和束町,11,133,124593, -, -, -,8,80,86420, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,5, X, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,2,48, X
2014年,平成26年,26366,相楽郡精華町,23,851,1768728,1,43, X, -, -, -,1,10, X, -, -, -, -, -, -,1,13, X,1,9, X,1,73, X, -, -, -,3,129,183228,1,41, X, -, -, -,1,43, X, -, -, -, -, -, -,2,77, X, -, -, -,3,40,149326,2,96, X, -, -, -,4,248,434280, -, -, -,2,29, X, -, -, -
2014年,平成26年,26367,相楽郡南山城村,3,60,43922, -, -, -,3,60,43922, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -
2014年,平成26年,26407,船井郡京丹波町,43,1314,2730114,4,227,340603,1,21, X,4,28,13364,2,11, X,1,7, X,2,52, X, -, -, -,4,55,110476,1,16, X,6,157,342339, -, -, -, -, -, -,6,75,164482, -, -, -,1,17, X,2,45, X, -, -, -,4,56,57477,1,72, X,1,30, X,3,445,1066227, -, -, -, -, -, -, -, -, -
2014年,平成26年,26463,与謝郡伊根町,2,22, X, -, -, -,1,5, X, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,1,17, X
2014年,平成26年,26465,与謝郡与謝野町,77,1190,2333377,5,160,164366,1,4, X,41,419,414875,1,7, X,1,8, X, -, -, -,1,11, X, -, -, -, -, -, -,2,24, X, -, -, -,1,108, X,4,33,48766,3,146,1257661, -, -, -,5,55,89933, -, -, -,3,40, X, -, -, -,3,105,91979,4,53,50690,1,7, X, -, -, -,1,10, X
2014年,平成26年,-,従業者数_4〜9人,2070,12423,14990753,189,1187,1137845,43,270,413595,502,2880,2520751,64,383,524716,88,493,531385,86,510,610553,155,922,959421,25,139,247339,5,43,359934,82,494,650957,4,24, X,22,128,145814,84,483,1072350,17,116,332954,10,59,89143,198,1252,1819669,30,189,312178,172,1059,1384738,46,273,256375,23,146,183098,77,476,515709,2,13, X,30,187,231473,116,697,658201
2014年,平成26年,-,従業者数_10〜19人,1061,14477,25123197,105,1429,3094998,39,525,1141051,172,2273,2351182,11,147,238295,25,343,623372,30,409,595341,91,1266,2096757,33,473,1140704,4,54, X,55,758,1210232,2,22, X,6,75,99004,50,679,2120226,18,251,915189,4,52,319284,112,1509,2317506,20,273,801740,107,1482,2250022,40,551,901073,20,271,271027,59,837,1363353,6,81,70801,20,275,415673,32,442,525541
2014年,平成26年,-,従業者数_20〜29人,497,12014,21833079,76,1821,2293250,15,363,1202075,55,1347,1618185,3,68,184280,6,149, X,18,430,628063,30,709,1616403,10,241,689631, -, -, -,35,841,1980518,1,21, X,1,24, X,14,320,674356,7,177,718559,7,183,1483114,48,1168,1931354,10,241,296243,59,1425,2725309,25,611,929770,11,239,153112,41,1010,1504893,3,78,104867,13,331,478214,9,217,266154
2014年,平成26年,-,従業者数_30〜49人,283,11023,24873369,40,1587,2054522,6,245, X,19,754,1085209,5,221,839989,6,232,515765,12,484,1353560,19,730,2563803,9,355,1879061,1,33, X,24,877,1655127,3,112,223497,2,82, X,5,203,405145,7,272,1054701,2,88, X,25,971,2195229,5,211,485520,32,1236,2572884,10,388,821406,7,251, X,21,804,1805509,3,121,293254,11,405,782519,9,361,786528
2014年,平成26年,-,従業者数_50〜99人,237,16509,40684618,43,2956,7118949,8,554,2462780,8,560,1024688,2,128, X,1,70, X,9,574,1433330,18,1187,1931349,11,798,4463477,1,58, X,15,1141,2867465,1,90, X,1,62, X,7,501,1030114,2,158, X,2,162, X,20,1284,2742608,6,460,1151369,30,1971,4334321,14,982,3008021,9,634,556355,19,1461,3060068, -, -, -,6,475,658661,4,243,455452
2014年,平成26年,-,従業者数_100〜199人,151,21173,74233163,29,4268,11983254,6,954,13354061,6,845,1534958,2,291, X, -, -, -,7,988, X,8,1029,3053287,12,1937,6438188, -, -, -,6,737,1994508, -, -, -,2,225, X,2,302, X,3,325,1949837,5,611,2961202,8,1107,2687688,3,475, X,16,2039,6191870,5,696, X,10,1441,3229645,15,2076,4895021, -, -, -,5,715, X,1,112, X
2014年,平成26年,-,従業者数_200〜299人,50,11998,46942683,15,3518,11231199,1,201, X, -, -, -,1,201, X, -, -, -,1,230, X,1,228,X,2,470, X, -, -, -,3,714, X,1,277, X, -, -, -,1,239, X,1,255, X, -, -, -,2,486, X,4,1088,4716141,8,1905,7898121,1,296, X,1,252, X,5,1161,3639946, -, -, -,1,219, X,1,258, X
2014年,平成26年,-,従業者数_300人以上,52,36593,232834592,6,3246,6898064,1,479, X, -, -, -, -, -, -, -, -, -, -, -, -,4,2112,X,2,713, X, -, -, -,1,403, X, -, -, -, -, -, -,2,899, X, -, -, -,1,456, X,2,646, X,2,1275, X,3,1173,4715481,5,5626,21532770,4,5914,30687282,9,5717,19344309,2,1648, X,7,5914,44556265,1,372, X
