地域コード,地域,種別,住宅数(戸),世帯数(世帯),世帯人員(人),1住宅当たり居住室数(室),1住宅当たり居住室の畳数(畳),1住宅当たり延べ面積(m2),1人当たり居住室の畳数(畳),1室当たり人員(人)
26214,木津川市,持ち家,19770,19920,58410,6.07,44.72,129.79,15.13,0.49
26214,木津川市,借家,5070,5070,12060,3.55,25.52,61.7,10.74,0.67
26214,木津川市,専用住宅,24770,24930,69380,5.55,40.68,114.93,14.37,0.51
26214,木津川市,店舗その他の併用住宅,640,640,1960,5.83,45.32,152.3,14.67,0.53
26303,大山崎町,合計,5690,5740,15000,5.26,37,94.13,14,0.5
26303,大山崎町,持ち家,4590,4620,12300,5.7,39.92,103.07,14.88,0.47
26303,大山崎町,借家,1080,1100,2670,3.37,24.58,56.02,9.9,0.74
26303,大山崎町,専用住宅,5580,5630,14700,5.23,36.67,93.57,13.88,0.51
26303,大山崎町,店舗その他の併用住宅,110,110,300,7.02,54.18,122.75,19.4,0.4
26322,久御山町,合計,6260,6260,15650,5.43,34.48,109.65,13.73,0.46
26322,久御山町,持ち家,3770,3770,11190,6.87,45.69,150.19,15.38,0.43
26322,久御山町,借家,2440,2440,4410,3.2,17.18,47.12,9.52,0.56
26322,久御山町,専用住宅,6150,6150,15310,5.42,34.31,108.08,13.72,0.46
26322,久御山町,店舗その他の併用住宅,110,110,350,5.78,44.07,197.52,13.9,0.55
26366,精華町,合計,12660,12760,36130,5.52,41.39,119.52,14.49,0.52
26366,精華町,持ち家,10740,10840,32000,5.93,44.55,130.03,14.95,0.5
26366,精華町,借家,1840,1840,3920,3.17,22.91,58.11,10.74,0.67
26366,精華町,専用住宅,12610,12710,35970,5.52,41.35,119.49,14.48,0.52
26366,精華町,店舗その他の併用住宅,50,50,150,6.64,50.88,127.16,16.5,0.46
26407,京丹波町,合計,5290,5290,15020,7.28,46.48,144.76,16.33,0.39
26407,京丹波町,持ち家,4920,4920,13950,7.48,47.67,149.08,16.8,0.38
26407,京丹波町,借家,350,350,1050,4.46,29.87,84.34,10.01,0.67
26407,京丹波町,専用住宅,5210,5210,14710,7.27,46.23,142.24,16.32,0.39
26407,京丹波町,店舗その他の併用住宅,90,90,310,7.94,61.31,297.32,16.75,0.46
26465,与謝野町,合計,8570,8570,22520,6.75,44.22,164.88,16.76,0.39
26465,与謝野町,持ち家,6860,6860,18800,7.49,49,186.52,17.88,0.37
26465,与謝野町,借家,1650,1650,3670,3.67,24.38,75.08,11,0.6
26465,与謝野町,専用住宅,8310,8310,21920,6.68,43.71,160.39,16.51,0.4
26465,与謝野町,店舗その他の併用住宅,250,250,600,8.85,60.82,310.73,25.55,0.27
