大分類項目,中分類項目名,事業所数(事業所),民営事業所(事業所),民営事業所_個人(事業所),民営事業所_法人(事業所),民営事業所_会社(事業所),民営事業所_会社以外の法人(事業所),国(事業所),地方公共団体(事業所),従業者数(人),民営事業所(人),民営事業所_個人(人),民営事業所_法人(人),民営事業所_会社(人),民営事業所_会社以外の法人(人),国(人),地方公共団体(人),従業上の地位別_個人業主(人),従業上の地位別_無給の家族従業者(人),従業上の地位別_有給役員(人),従業上の地位別_正社員・正職員(人),従業上の地位別_正社員・正職員以外(人),従業上の地位別_臨時雇用者(人)
I_卸売業，小売業,55_その他の卸売業,1791,1790,381,1406,1383,23,-,1,16314,16312,1056,15254,15163,91,-,2,370,139,1746,9774,3885,400
I_卸売業，小売業,56_各種商品小売業,83,83,7,76,75,1,-,-,10576,10576,22,10554,10488,66,-,-,7,2,20,2951,7512,84
I_卸売業，小売業,57_織物・衣服・身の回り品小売業,3495,3495,1455,2037,2018,19,-,-,16519,16519,3052,13458,13420,38,-,-,1381,536,1144,5288,7683,487
I_卸売業，小売業,58_飲食料品小売業,7037,7032,3869,3147,3007,140,-,5,71277,71225,17237,53812,51125,2687,-,52,3686,1951,2379,13033,46039,4189
I_卸売業，小売業,59_機械器具小売業,3059,3059,1338,1720,1695,25,-,-,18081,18081,3057,15020,14769,251,-,-,1300,542,1778,11316,2804,341
I_卸売業，小売業,60_その他の小売業,8301,8301,3804,4493,4335,158,-,-,50792,50792,10996,39778,37729,2049,-,-,3646,1459,3610,15237,24306,2534
I_卸売業，小売業,61_無店舗小売業,845,845,281,562,534,28,-,-,8228,8228,555,7670,5918,1752,-,-,277,113,622,3709,3347,160
J_金融業，保険業,合計,1577,1577,110,1466,1151,315,-,-,27057,27057,213,26843,19871,6972,-,-,107,28,1049,20661,4857,355
J_金融業，保険業,62_銀行業,261,261,-,261,260,1,-,-,6163,6163,-,6163,6096,67,-,-,-,-,26,5003,981,153
J_金融業，保険業,63_協同組織金融業,265,265,-,265,1,264,-,-,6132,6132,-,6132,40,6092,-,-,-,-,98,5104,930,-
J_金融業，保険業,64_貸金業，クレジットカード業等非預金信用機関,114,114,29,85,82,3,-,-,2113,2113,69,2044,2033,11,-,-,27,7,113,1406,517,43
J_金融業，保険業,65_金融商品取引業，商品先物取引業,76,76,-,76,75,1,-,-,1183,1183,-,1183,1182,1,-,-,-,-,101,907,170,5
J_金融業，保険業,66_補助的金融業等,34,34,1,32,24,8,-,-,369,369,1,367,178,189,-,-,1,-,25,258,85,-
J_金融業，保険業,67_保険業（保険媒介代理業，保険サービス業を含む）,827,827,80,747,709,38,-,-,11097,11097,143,10954,10342,612,-,-,79,21,686,7983,2174,154
K_不動産業，物品賃貸業,合計,8691,8676,3550,5099,4898,201,3,12,31551,31481,6196,25237,24188,1049,3,67,3440,1273,6938,11686,7154,1060
K_不動産業，物品賃貸業,68_不動産取引業,1556,1556,233,1322,1311,11,-,-,7095,7095,479,6614,6535,79,-,-,229,68,1637,4026,888,247
K_不動産業，物品賃貸業,69_不動産賃貸業・管理業,6565,6551,3265,3260,3073,187,3,11,18509,18442,5506,12890,11955,935,3,64,3163,1187,4874,4868,3862,555
K_不動産業，物品賃貸業,70_物品賃貸業,570,569,52,517,514,3,-,1,5947,5944,211,5733,5698,35,-,3,48,18,427,2792,2404,258
L_学術研究，専門・技術サービス業,合計,4573,4511,2288,2215,1895,320,16,46,32689,30878,6724,24140,20047,4093,336,1475,2234,350,3039,20941,5083,1042
L_学術研究，専門・技術サービス業,71_学術・開発研究機関,179,161,8,151,89,62,-,18,4798,4356,16,4338,2934,1404,-,442,8,2,109,3422,1038,219
L_学術研究，専門・技術サービス業,72_専門サービス業（他に分類されないもの）,2536,2535,1616,914,705,209,-,1,12313,12299,5203,7088,4870,2218,-,14,1571,176,1506,6779,1990,291
L_学術研究，専門・技術サービス業,73_広告業,156,156,8,148,146,2,-,-,1262,1262,19,1243,1236,7,-,-,8,2,169,875,193,15
L_学術研究，専門・技術サービス業,74_技術サービス業（他に分類されないもの）,1702,1659,656,1002,955,47,16,27,14316,12961,1486,11471,11007,464,336,1019,647,170,1255,9865,1862,517
M_宿泊業，飲食サービス業,合計,15965,15934,10060,5854,5670,184,-,31,130144,129859,33554,96180,93852,2328,-,285,9635,3818,3619,25125,74578,13369
M_宿泊業，飲食サービス業,75_宿泊業,1125,1114,441,663,590,73,-,11,20105,20005,1794,18142,17131,1011,-,100,423,309,763,6960,8916,2734
M_宿泊業，飲食サービス業,76_飲食店,13632,13632,9287,4336,4243,93,-,-,99113,99113,30355,68719,67550,1169,-,-,8918,3366,2607,16017,57995,10210
M_宿泊業，飲食サービス業,77_持ち帰り・配達飲食サービス業,1208,1188,332,855,837,18,-,20,10926,10741,1405,9319,9171,148,-,185,294,143,249,2148,7667,425
N_生活関連サービス業，娯楽業,合計,9531,9467,6373,3068,2890,178,1,63,48793,48259,13787,34362,32253,2109,7,527,6094,1535,2256,16996,19411,2501
N_生活関連サービス業，娯楽業,78_洗濯・理容・美容・浴場業,7290,7288,5644,1641,1571,70,-,2,24575,24566,11696,12862,12625,237,-,9,5398,1299,1103,8644,7441,690
N_生活関連サービス業，娯楽業,79_その他の生活関連サービス業,1161,1136,453,673,631,42,-,25,7530,7386,1113,6228,5906,322,-,144,437,144,487,3171,2977,314
N_生活関連サービス業，娯楽業,80_娯楽業,1080,1043,276,754,688,66,1,36,16688,16307,978,15272,13722,1550,7,374,259,92,666,5181,8993,1497
O_教育，学習支援業,合計,4727,3804,2076,1712,1141,571,4,919,90234,62802,6061,56695,12952,43743,710,26722,1986,299,990,45828,37756,3375
O_教育，学習支援業,81_学校教育,1146,436,10,426,8,418,-,710,66118,41675,93,41582,88,41494,-,24443,9,3,242,39742,24911,1211
O_教育，学習支援業,82_その他の教育，学習支援業,3581,3368,2066,1286,1133,153,4,209,24116,21127,5968,15113,12864,2249,710,2279,1977,296,748,6086,12845,2164
P_医療，福祉,合計,9116,8642,4135,4483,1046,3437,1,473,172145,161076,21421,139512,15789,123723,75,10994,3998,802,3932,92002,62670,8741
P_医療，福祉,83_医療業,5889,5849,4067,1777,403,1374,1,39,97280,94112,20914,73179,5451,67728,75,3093,3947,797,2943,54285,31695,3613
P_医療，福祉,84_保健衛生,86,53,4,47,14,33,-,33,2467,1508,7,1494,115,1379,-,959,4,-,23,1221,517,702
P_医療，福祉,85_社会保険・社会福祉・介護事業,3141,2740,64,2659,629,2030,-,401,72398,65456,500,64839,10223,54616,-,6942,47,5,966,36496,30458,4426
Q_複合サービス事業,合計,619,618,29,589,443,146,-,1,8550,8548,69,8479,6244,2235,-,2,28,6,117,5219,3165,15
Q_複合サービス事業,86_郵便局,474,473,29,444,443,1,-,1,6321,6319,69,6250,6244,6,-,2,28,6,3,3438,2841,5
Q_複合サービス事業,87_協同組合（他に分類されないもの）,145,145,-,145,-,145,-,-,2229,2229,-,2229,-,2229,-,-,-,-,114,1781,324,10
R_サービス業（他に分類されないもの）,合計,8470,8304,806,7093,2576,4517,-,166,85307,83153,2235,79847,59541,20306,-,2154,780,282,7399,37789,33604,5453
R_サービス業（他に分類されないもの）,88_廃棄物処理業,365,306,15,291,280,11,-,59,5694,4110,55,4055,3916,139,-,1584,15,9,530,3865,1130,145
R_サービス業（他に分類されないもの）,89_自動車整備業,794,794,425,369,356,13,-,-,4013,4013,1018,2995,2887,108,-,-,417,159,490,2352,513,82
R_サービス業（他に分類されないもの）,90_機械等修理業（別掲を除く）,522,522,184,338,324,14,-,-,3779,3779,366,3413,3360,53,-,-,174,52,279,2572,630,72
R_サービス業（他に分類されないもの）,91_職業紹介・労働者派遣業,297,294,14,277,232,45,-,3,12206,12196,85,12104,11715,389,-,10,14,2,282,3857,7334,717
R_サービス業（他に分類されないもの）,92_その他の事業サービス業,1631,1616,123,1473,1375,98,-,15,39461,39254,622,38589,37581,1008,-,207,116,37,1322,14679,19962,3345
R_サービス業（他に分類されないもの）,93_政治・経済・文化団体,1182,1182,-,847,-,847,-,-,6395,6395,-,5473,-,5473,-,-,-,-,777,3724,1597,297
R_サービス業（他に分類されないもの）,94_宗教,3530,3530,39,3453,-,3453,-,-,12941,12941,74,12804,-,12804,-,-,38,23,3695,6348,2115,722
R_サービス業（他に分類されないもの）,95_その他のサービス業,149,60,6,45,9,36,-,89,818,465,15,414,82,332,-,353,6,-,24,392,323,73
S_公務（他に分類されるものを除く）,合計,851,-,-,-,-,-,122,729,41136,-,-,-,-,-,11449,29687,-,-,-,35207,5028,901
S_公務（他に分類されるものを除く）,97_国家公務,122,-,-,-,-,-,122,-,11449,-,-,-,-,-,11449,-,-,-,-,10466,779,204
S_公務（他に分類されるものを除く）,98_地方公務,729,-,-,-,-,-,-,729,29687,-,-,-,-,-,-,29687,-,-,-,24741,4249,697
